zona_id,area_km2,n_pixels,centroid_lat,centroid_lon,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc
4010,2.271917,2562.000000,-10.779290,-75.498387,39799,14750,39928,14852
2650,2.270144,2560.000000,-6.855506,-77.935685,25257,5707,25370,5812
2657,2.264823,2554.000000,-6.892004,-77.772577,25354,6317,25492,6399
2981,2.264823,2554.000000,-8.087074,-77.046074,29817,8970,29915,9109
2316,2.264823,2554.000000,-6.070023,-78.332795,22341,4243,22417,4316
4365,2.262163,2551.000000,-11.447506,-75.249495,42278,15690,42406,15746
1748,2.260389,2549.000000,-5.066773,-74.153875,18587,19753,18752,19839
3103,2.259502,2548.000000,-8.340559,-75.281265,30767,15549,30849,15638
773,2.257729,2546.000000,-3.922307,-75.572594,14344,14477,14468,14580
4240,2.257729,2546.000000,-11.194487,-73.969922,41321,20334,41465,20614
780,2.256842,2545.000000,-3.928529,-76.503110,14372,11028,14515,11101
1732,2.255069,2543.000000,-5.044690,-74.132850,18528,19794,18664,19912
3773,2.253295,2541.000000,-9.972607,-74.783835,36833,17369,36911,17507
204,2.251521,2539.000000,-2.413743,-72.600905,8757,25491,8900,25591
3342,2.251521,2539.000000,-8.941707,-74.685902,32980,17768,33084,17846
4211,2.248861,2536.000000,-11.139637,-75.341621,41111,15335,41312,15423
1963,2.247974,2535.000000,-5.467458,-75.231709,20084,15746,20193,15850
445,2.247974,2535.000000,-3.432479,-71.983793,12549,27765,12619,27939
2116,2.247088,2534.000000,-5.759919,-78.254609,21184,4524,21273,4614
4149,2.246201,2533.000000,-10.996660,-74.360592,40633,18964,40699,19087
1073,2.244427,2531.000000,-4.260618,-76.724739,15589,10199,15744,10285
1133,2.242654,2529.000000,-4.308673,-78.400900,15792,3931,15893,4093
3249,2.240880,2527.000000,-8.654028,-76.983622,31930,9218,32026,9339
495,2.240880,2527.000000,-3.498090,-72.984718,12808,24021,12951,24295
3031,2.240880,2527.000000,-8.198187,-75.188753,30240,15896,30313,16000
4897,2.239107,2525.000000,-12.735378,-72.538169,47062,25716,47194,25859
3979,2.237333,2523.000000,-10.722455,-74.948963,39586,16801,39710,16875
