geocode,departamento,distrito,anio,pct_anp,tiene_anp
010302,Amazonas,Chisquilla,2009,0.002463,1
050507,Ayacucho,Santa Rosa,2009,0.0,0
220804,San Martin,Nueva Cajamarca,2009,0.40854,1
220809,San Martin,Yuracyacu,2009,0.0,0
160603,Loreto,Padre Marquez,2009,0.0,0
010522,Amazonas,Tingo,2009,0.104067,1
080906,Cusco,Quellouno,2009,0.000399,1
010301,Amazonas,Jumbilla,2009,0.0,0
080917,Cusco,Manitea,2009,0.0,0
250305,Ucayali,Alexander Von Humboldt,2010,0.0,0
220509,San Martin,Shanao,2010,0.0,0
250304,Ucayali,Neshuya,2010,0.0,0
220501,San Martin,Lamas,2010,0.0,0
220902,San Martin,Alberto Leveau,2010,0.0,0
250102,Ucayali,Campoverde,2010,0.0,0
220702,San Martin,Buenos Aires,2010,0.0,0
220502,San Martin,Alonso De Alvarado,2010,0.0,0
220404,San Martin,Piscoyacu,2010,0.0,0
220708,San Martin,Shamboyacu,2010,0.065954,1
220204,San Martin,Huallaga,2010,0.0,0
220605,San Martin,Pajarillo,2010,0.0,0
010703,Amazonas,Cumba,2010,0.0,0
220704,San Martin,Pilluana,2010,0.0,0
220104,San Martin,Jepelacio,2010,0.0,0
220505,San Martin,Cuñumbuqui,2010,0.0,0
220507,San Martin,Rumisapa,2010,0.0,0
220913,San Martin,Sauce,2010,0.0,0
010608,Amazonas,Milpuc,2010,0.0,0
220405,San Martin,Sacanche,2010,0.0,0
220709,San Martin,Tingo De Ponasa,2010,0.0,0
220304,San Martin,Santa Rosa,2010,0.0,0
100903,Huanuco,Honoria,2010,0.051579,1
220203,San Martin,Bajo Biavo,2010,0.000233,1
220710,San Martin,Tres Unidos,2010,0.080633,1
220510,San Martin,Tabalosos,2010,1.7e-05,1
100904,Huanuco,Tournavista,2010,0.058333,1
010701,Amazonas,Bagua Grande,2010,0.0,0
220701,San Martin,Picota,2010,0.0,0
220403,San Martin,El Eslabon,2010,0.0,0
250105,Ucayali,Yarinacocha,2010,0.0,0
220914,San Martin,Shapaja,2010,0.215793,1
010707,Amazonas,Yamon,2010,0.0,0
010705,Amazonas,Jamalca,2010,0.0,0
220205,San Martin,San Pablo,2010,0.0,0
220705,San Martin,Pucacaca,2010,0.0,0
220601,San Martin,Juanjui,2010,0.0,0
100905,Huanuco,Yuyapichis,2010,0.080361,1
100608,Huanuco,Castillo Grande,2010,0.0,0
220302,San Martin,Agua Blanca,2010,0.0,0
250306,Ucayali,Huipoca,2010,0.0,0
010611,Amazonas,Totora,2010,0.0,0
010706,Amazonas,Lonya Grande,2010,0.0,0
220706,San Martin,San Cristobal,2010,0.0,0
010303,Amazonas,Churuja,2010,0.0,0
220301,San Martin,San Jose De Sisa,2010,0.0,0
010204,Amazonas,El Parco,2010,0.0,0
010306,Amazonas,Florida,2010,0.0,0
220303,San Martin,San Martin,2010,0.0,0
220106,San Martin,Yantalo,2010,0.0,0
220305,San Martin,Shatoja,2010,0.0,0
010104,Amazonas,Cheto,2010,0.0,0
160201,Loreto,Yurimaguas,2010,0.0,0
060901,Cajamarca,San Ignacio,2010,0.0,0
220511,San Martin,Zapatero,2010,0.0,0
060811,Cajamarca,San Jose Del Alto,2010,0.0,0
010206,Amazonas,La Peca,2010,0.0,0
220401,San Martin,Saposoa,2010,0.0,0
060902,Cajamarca,Chirinos,2010,0.0,0
220908,San Martin,Juan Guerra,2010,0.0,0
060904,Cajamarca,La Coipa,2010,0.0,0
220808,San Martin,Yorongos,2010,0.0,0
120607,Junin,Rio Negro,2010,0.0,0
060812,Cajamarca,Santa Rosa,2010,0.0,0
